# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-07-27 17:10:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = .//input/input_trivial_v2.json
# init = .//input/init.json
# random
#   seed = 4028370519 (Default)
# output
#   file = .//output/output_trivial_v2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15
# Adaptation terminated
# Step size = 0.0512064
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-508.906,0.999929,0.0512064,6,63,0,513.258,1.0446,0.213258,0.420971,0.338218,0.726319,2.15778,0.536969,1.67297,0.340933,1.42466,2.64596,1.19247,1.39953,0.621189,1.8035
-509.26,0.967124,0.0512064,6,63,0,514.583,0.539915,0.12638,0.330654,0.566464,1.28601,1.01419,0.547867,0.898372,0.577416,3.04107,1.48229,1.74478,0.731471,0.893143,0.593922
-509.21,0.961224,0.0512064,6,63,0,516.301,0.323822,0.651247,0.58765,1.52431,0.166273,0.640737,2.48928,1.08403,0.933557,0.398331,1.34321,4.55245,1.20211,1.52923,3.25244
-509.236,0.940464,0.0512064,6,63,0,516.454,0.526682,0.255555,0.739089,0.510752,0.241813,0.663434,2.50412,2.27481,0.610671,0.493636,0.811463,3.92934,4.20223,0.773047,4.27878
-506.971,0.957328,0.0512064,6,63,0,516.002,1.13422,0.663712,0.471702,0.829469,0.121761,1.43304,2.24681,1.04946,0.973001,0.318593,1.96914,4.08812,1.42674,1.1787,2.75452
-507.641,0.775954,0.0512064,6,63,0,514.019,0.257067,0.357865,0.825813,0.347442,1.42883,0.440888,1.05576,1.48627,0.483193,3.0002,0.605377,1.85017,1.71704,0.581286,0.472436
-518.347,0.927754,0.0512064,6,63,0,522.167,0.371328,0.199012,0.151503,1.71423,0.495415,1.74366,0.556031,0.431909,1.88899,1.84465,2.32507,0.775767,0.479444,2.20583,50.2146
-510.161,0.78852,0.0512064,5,31,0,526.429,0.390498,0.0768816,0.255283,1.14604,0.644552,0.844351,1.2585,0.768572,1.04307,1.07428,1.31724,2.16404,0.972162,1.78669,11.7226
-509.258,0.959246,0.0512064,6,63,0,516.85,0.539506,0.324842,0.852375,0.729808,0.72561,1.29048,0.328768,1.45767,1.07593,1.60789,1.35159,0.748411,2.25306,1.20875,0.623598
-505.69,0.914717,0.0512064,5,63,0,515.146,0.562806,0.268795,0.301309,0.623124,0.61703,1.19988,0.631081,1.27911,0.539401,1.77617,1.96264,0.964869,1.38703,1.00699,0.505808
-510.868,0.915569,0.0512064,4,15,0,515.034,0.559398,0.238839,0.127999,0.771566,1.27885,0.883247,0.682332,1.1429,0.757687,1.30205,1.9983,1.11634,2.15299,0.684539,0.512569
-514.23,0.987233,0.0512064,5,63,0,531.139,0.4921,0.273154,0.109226,0.645327,4.11384,0.605455,0.357558,0.885787,0.744058,3.4385,1.65037,0.743528,0.9124,0.970055,0.316681
-510.05,0.999919,0.0512064,6,63,0,524.353,0.550161,0.0548604,0.202616,0.424609,1.82457,0.469291,1.70516,0.706706,0.43271,3.29872,0.909497,2.86527,0.790675,0.632727,1.3331
-510.328,0.939989,0.0512064,6,63,0,513.59,0.412444,0.0652376,0.243031,0.680365,1.66436,0.510507,1.93777,0.498739,0.496011,4.01082,0.76431,3.10612,0.846628,0.562283,0.907503
-511.974,0.913507,0.0512064,6,63,0,519.62,1.59256,0.377335,1.11317,0.232116,1.21248,0.602731,0.778429,2.73221,0.348908,1.82995,1.13222,1.0102,5.06903,0.414036,2.11393
-516.983,0.99922,0.0512064,6,63,0,522.45,0.0637031,0.0761721,0.299511,1.4707,0.198692,5.85052,0.350644,0.570624,1.59181,0.44215,13.1145,0.415638,0.81497,2.1961,0.801214
-518.68,0.722191,0.0512064,6,63,0,525.967,0.703694,0.388094,0.1866,0.23442,2.92782,0.134779,3.42818,1.33223,0.346004,6.44906,0.145579,6.0546,1.82318,0.468777,1.17695
-515.349,0.980272,0.0512064,6,63,0,525.696,0.361647,0.13615,0.473864,0.407802,0.484952,5.66722,0.331935,0.617749,0.911488,0.518809,17.7194,0.455815,0.991944,1.07981,1.64146
-513.108,0.89815,0.0512064,5,31,0,522.915,0.531648,0.101282,0.319742,0.402963,0.35309,7.97633,0.439044,0.75832,0.631699,0.762492,8.05844,0.888487,0.674646,1.22999,0.555949
-510.458,0.772128,0.0512064,6,63,0,520.582,0.354906,0.274803,0.394418,1.20478,0.832202,0.160013,1.36019,1.84778,1.14932,1.78237,0.308373,1.83731,2.17383,1.59083,0.278077
-512.673,0.76086,0.0512064,6,63,0,520.974,0.405267,0.596201,0.181702,0.636834,0.348034,2.7152,0.87882,0.719771,0.570633,0.907455,5.14991,2.13135,0.695192,0.698226,6.3174
-513.211,0.996231,0.0512064,6,63,0,522.531,0.373713,0.279206,1.62434,0.863962,0.372572,0.221092,1.85733,1.93387,2.20261,0.661528,0.224795,4.00002,3.28728,2.03526,0.785767
-506.999,0.866993,0.0512064,6,63,0,518.678,0.312299,0.648786,1.03203,0.80943,0.27418,0.388241,2.21082,2.6769,0.655972,0.550921,0.785288,3.6807,2.75373,0.903815,0.649337
-510.365,0.707872,0.0512064,6,63,0,514.084,0.853418,0.212521,0.269137,1.14656,1.046,1.76107,0.257895,0.769914,1.0058,2.52781,2.90292,0.554174,0.966079,1.5056,1.69827
-507.251,0.993671,0.0512064,5,63,0,514.05,0.20476,0.131219,0.295516,0.957639,0.658488,0.702248,1.42203,0.710096,1.25553,0.747041,1.5707,2.69127,0.939439,1.66128,0.683938
-510.079,0.839913,0.0512064,6,63,0,516.461,0.199937,0.949584,0.95736,0.507208,0.793913,0.200309,2.82596,1.6057,0.593042,1.59774,0.326238,3.7648,2.26553,0.935994,1.14373
-508.088,0.929911,0.0512064,6,63,0,516.362,0.175749,0.568386,0.869629,0.452944,1.14048,0.369099,1.6358,1.29291,0.426205,2.82613,0.51663,2.92909,1.46333,0.626263,1.19599
-510.431,0.678631,0.0512064,6,63,0,516.062,0.114467,0.166044,0.335607,0.784493,0.637483,0.839588,1.27133,0.747393,0.846565,0.709173,2.25404,1.96843,1.07476,1.08572,1.71726
-508.362,0.809946,0.0512064,5,63,0,519.612,0.163274,0.190389,0.173597,0.841197,0.410649,1.50918,0.910876,1.35138,0.776879,0.627645,2.19047,1.80385,1.64388,1.00384,1.23763
-506.754,0.728629,0.0512064,5,63,0,514.963,0.257793,0.648862,0.543077,0.760966,0.375053,1.28738,1.58811,0.890167,0.636989,0.673636,2.4678,2.66562,1.07413,0.988741,2.32702
-511.412,0.670926,0.0512064,5,63,0,520.392,1.92172,0.158796,0.145949,0.467389,1.10375,0.766495,1.95889,0.552505,0.44789,2.08107,1.72893,3.44267,0.846029,0.407191,2.2604
-511.905,0.995991,0.0512064,6,63,0,518.953,0.161173,0.393175,0.233887,0.757953,0.211455,2.109,0.701207,1.78821,0.779714,0.383465,2.39195,2.13226,2.0089,0.946108,0.609998
-513.504,0.904025,0.0512064,6,63,0,524.24,0.319729,0.308714,0.524932,0.697553,0.101574,2.81053,3.11654,0.442952,0.795088,0.257358,6.20227,3.46932,0.64906,1.17951,1.84076
-509.998,0.96498,0.0512064,6,63,0,519.859,0.114222,0.845787,0.530491,1.06955,0.854975,0.470804,0.823341,1.20466,0.830002,1.85384,1.1124,1.15887,2.02491,0.845702,0.282206
-508.755,0.822194,0.0512064,6,63,0,520.391,2.92515,0.229976,0.292209,0.463015,0.272445,1.63438,1.22509,1.26524,0.541653,0.774164,2.24174,2.28294,1.21181,0.921729,2.73662
-510.502,0.886359,0.0512064,6,63,0,517.076,0.890612,0.0723143,0.407439,0.467002,0.420351,1.51229,0.581146,1.28668,1.04281,0.764346,2.56674,1.18158,1.29624,1.27556,0.643429
-507.619,0.998988,0.0512064,6,63,0,515,0.120901,0.396829,0.372051,0.73757,1.13846,0.927427,0.434735,1.31408,0.885435,2.25732,1.04438,0.836619,1.82931,1.45484,2.6204
-509.472,0.934975,0.0512064,6,63,0,514.352,0.146644,0.0715934,0.692821,0.913645,1.03808,0.656992,0.416701,1.9439,0.871269,1.80524,0.991795,0.726504,2.21561,1.9303,0.636433
-506.327,0.962948,0.0512064,6,63,0,514.276,0.342742,0.26489,0.39803,0.489877,0.803172,1.59024,0.767199,1.2131,0.500485,1.05126,2.22698,1.52234,1.68088,0.807752,1.55021
-506.007,0.987049,0.0512064,5,63,0,509.574,0.280799,0.238038,0.473201,0.593785,0.445491,0.867199,1.20837,1.01055,0.681569,1.44072,1.10715,2.19684,1.31649,0.750074,0.813246
-508.301,0.996627,0.0512064,6,63,0,514.626,0.543436,0.680859,0.235724,0.503835,0.374557,1.22031,1.47706,1.04464,1.0233,0.342578,2.44591,2.44989,1.71137,1.09124,1.69591
-506.797,0.755048,0.0512064,6,63,0,515.739,0.476376,0.143999,0.344475,1.87556,0.585573,0.446375,1.36364,0.771207,1.61452,1.42225,0.73819,1.93385,0.866166,2.44341,2.88158
-509.328,0.995011,0.0512064,5,31,0,511.564,0.58956,0.139118,0.342752,2.09138,0.650705,0.311104,1.4233,0.76378,1.77928,0.914282,1.05638,2.05362,0.926242,2.60907,3.14465
-510.631,0.851989,0.0512064,6,63,0,518.317,0.232085,2.04765,0.23219,0.5304,0.630371,0.734674,2.59343,1.07526,0.433594,0.804532,1.82661,3.50243,1.35607,0.857415,1.21363
