# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:35:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v32.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 264263438 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v32.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0233673
# Diagonal elements of inverse mass matrix:
# 0.0202527, 0.0281096, 0.0227927, 0.0258777, 0.0372263, 0.0201959, 0.0275456, 0.0225233, 0.0259972, 0.0370759, 0.0198086, 0.0281489, 0.0226974, 0.0266913, 0.0996633
-98628.6,0.863758,0.0233673,8,255,0,98632.8,1.25294,1.08327,1.13438,1.02384,1.66839,1.35891,1.18478,1.24855,1.08468,1.75762,1.38407,1.30211,1.25158,1.16455,0.712821
-98625.8,0.851567,0.0233673,7,255,0,98633.3,1.03157,1.18926,1.20722,1.44812,1.22677,1.09381,1.36941,1.25168,1.49436,1.33423,1.17374,1.4534,1.28671,1.58831,1.53737
-98632.2,0.919337,0.0233673,5,31,0,98637.3,0.987477,1.33675,1.15822,1.42591,1.17378,1.16001,1.3412,1.31729,1.45653,1.26681,1.27182,1.32319,1.46396,1.49885,1.78274
-98626.1,0.656217,0.0233673,5,31,0,98643,1.08139,1.22979,1.26625,1.4136,1.09905,1.16317,1.41456,1.31137,1.48299,1.20196,1.21784,1.50565,1.34048,1.55522,1.62383
-98625.4,0.904356,0.0233673,8,255,0,98634.8,1.40463,1.33763,1.22302,0.961071,1.21024,1.54952,1.41293,1.30147,1.02048,1.30205,1.66218,1.47755,1.36458,1.06556,0.614242
-98622.4,0.999231,0.0233673,7,255,0,98629.7,0.970237,1.10947,1.05031,1.46958,1.52889,1.08964,1.20581,1.12481,1.55285,1.63212,1.16189,1.27149,1.17844,1.59694,1.64483
-98624.6,0.777459,0.0233673,8,255,0,98631.9,0.98634,1.13659,1.76005,0.977254,1.33302,1.09554,1.21167,1.91856,1.02005,1.44994,1.15809,1.30384,1.98923,1.08257,1.02792
-98628.7,0.940608,0.0233673,8,255,0,98632.6,1.24172,1.2954,0.747873,1.54889,1.41658,1.36317,1.42688,0.780616,1.60545,1.54348,1.45739,1.46091,0.843344,1.64406,1.49952
-98626.5,0.988316,0.0233673,8,255,0,98635.6,1.22152,0.932918,1.47607,1.11215,1.36552,1.38564,1.00996,1.5529,1.14886,1.50579,1.49142,1.08791,1.54745,1.25748,0.922216
-98629.9,0.738373,0.0233673,7,255,0,98635.4,1.07429,0.915538,1.34587,1.39279,1.37299,1.21427,0.967242,1.49591,1.42602,1.57631,1.20483,1.07151,1.53103,1.44571,1.14671
-98625.6,0.999892,0.0233673,6,127,0,98634.7,1.05948,0.916659,1.42052,1.32458,1.40162,1.15375,1.01051,1.52329,1.45585,1.4355,1.28836,1.02374,1.60904,1.51935,0.872127
-98626.1,0.949618,0.0233673,5,31,0,98631.6,1.06633,0.901596,1.47765,1.33046,1.34567,1.20219,1.00718,1.49662,1.44236,1.47879,1.24405,1.06582,1.53043,1.51611,0.894306
-98624.5,0.943545,0.0233673,6,127,0,98632.3,0.992116,1.02064,1.3196,1.36009,1.40713,1.14819,1.07195,1.42452,1.40398,1.53735,1.21728,1.10195,1.5724,1.40698,0.789482
-98624,0.98707,0.0233673,4,31,0,98629.7,1.00438,0.992039,1.33826,1.35494,1.40992,1.14511,1.04685,1.48748,1.37754,1.51862,1.24035,1.12426,1.51357,1.41106,0.777465
-98625.7,0.63755,0.0233673,6,127,0,98633.1,1.03329,1.06114,1.35593,1.21392,1.39028,1.14903,1.17657,1.45843,1.25246,1.50665,1.22907,1.28095,1.48472,1.33264,0.594843
-98627.9,0.986034,0.0233673,7,159,0,98633,0.84584,0.985137,1.54158,1.37854,1.40374,0.992414,1.08267,1.62597,1.43671,1.51549,1.04325,1.12701,1.77328,1.43672,1.10735
-98625.7,0.861641,0.0233673,8,255,0,98632.7,0.818314,1.19013,1.45066,1.25299,1.46883,0.881417,1.33902,1.57766,1.29216,1.55637,0.954618,1.42547,1.59645,1.35448,0.824359
-98626.3,0.832063,0.0233673,8,255,0,98635.7,1.05939,1.44034,0.997374,1.32063,1.28807,1.13999,1.5915,1.05043,1.44359,1.40447,1.21562,1.60287,1.1312,1.52423,1.04947
-98627.6,0.717122,0.0233673,8,255,0,98634.8,1.05728,1.42153,0.997417,1.31438,1.32844,1.11825,1.56315,1.06352,1.42759,1.4342,1.21378,1.60708,1.12696,1.51218,1.07246
-98626.1,0.929703,0.0233673,8,255,0,98633.4,0.951976,1.47663,1.04281,1.20496,1.45386,1.07239,1.61116,1.12322,1.20904,1.55891,1.17204,1.68465,1.1706,1.25785,0.987487
-98624.5,0.999765,0.0233673,8,255,0,98629.9,0.987312,1.42601,1.10591,1.06565,1.57251,1.0775,1.57103,1.17882,1.11049,1.67487,1.16254,1.63545,1.21181,1.17766,1.21156
-98622,0.979281,0.0233673,8,255,0,98631.6,1.32463,0.972185,1.16682,1.20559,1.42879,1.49898,1.0439,1.2156,1.29723,1.53919,1.58891,1.08822,1.28471,1.37237,1.20946
-98626.9,0.779168,0.0233673,8,255,0,98634,1.04125,1.2483,1.09565,0.880556,2.03398,1.17493,1.36348,1.20725,0.889575,2.17669,1.25935,1.41765,1.31778,0.908286,0.839609
