# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:19:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v21.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 263315374 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v21.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0489875
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-519.419,0.997976,0.0489875,5,31,0,525.38,0.516017,0.593348,0.54,0.764942,0.596531,0.590426,0.888482,1.163,1.07865,1.36049,0.807438,1.75913,1.48569,1.45218,1.66829
-520.16,0.992208,0.0489875,5,31,0,529.388,1.10423,0.395518,0.528884,0.631829,0.671566,1.03719,0.898523,1.11324,1.00715,0.891585,1.55166,1.56211,1.37597,1.2546,0.51522
-519.645,0.974399,0.0489875,4,31,0,533.196,0.418854,0.718326,0.492214,0.685614,0.650853,0.752896,1.12155,0.930418,0.845006,1.85374,0.908486,1.44034,1.51901,1.33131,1.08286
-518.827,0.990972,0.0489875,4,31,0,526.03,0.659208,0.678235,0.685494,0.601953,0.720264,0.887765,0.51037,1.26008,1.01514,1.40578,1.53284,1.01499,1.40499,1.31312,1.36939
-520.659,0.797182,0.0489875,4,15,0,525.013,0.60132,0.721194,0.687551,0.737807,0.54744,1.1449,0.603951,1.31362,0.889371,1.56876,1.14565,1.14943,1.44153,1.27935,1.69486
-523.791,0.971349,0.0489875,5,31,0,529.143,0.896998,0.627079,0.574272,0.574691,0.720072,0.602576,1.43433,0.968713,0.758896,0.84221,1.55381,2.00314,1.84831,0.898408,0.562315
-524.314,0.877574,0.0489875,4,15,0,533.018,1.27377,0.896684,0.648515,0.38589,0.648121,0.853569,1.11003,1.064,0.883847,0.876614,1.46564,2.09688,1.01191,1.2033,0.680446
-522.716,0.997143,0.0489875,5,31,0,533.714,0.503687,0.396856,0.512678,1.08364,0.710598,0.749455,0.727816,1.09539,0.835414,2.01169,1.34861,0.929341,1.4367,0.955178,1.68894
-517.678,0.930667,0.0489875,4,15,0,530.005,0.7687,0.543916,0.643803,0.819878,0.601119,0.70187,0.776706,0.880641,1.00683,1.80829,1.19946,1.08664,1.26026,1.3087,1.33658
-523.929,0.892714,0.0489875,4,15,0,527.804,0.420467,0.354298,0.539045,0.635236,0.864815,0.738395,0.750047,1.45031,0.915644,1.25628,1.17073,1.3126,1.41862,1.05038,0.856365
-519.989,0.763262,0.0489875,4,15,0,532.597,0.825408,0.595668,0.420252,0.99937,0.556224,0.765284,1.19372,0.900376,1.12184,1.00816,1.12751,1.34515,1.9093,1.27966,0.90899
-519.843,0.887771,0.0489875,4,31,0,528.119,1.23599,0.609269,0.522323,0.735956,0.484673,0.778166,1.13937,1.09101,0.831352,1.40223,1.38485,1.8701,1.14608,1.03104,1.42852
-521.233,0.934055,0.0489875,4,31,0,531.266,0.635901,0.456635,0.585912,0.740944,0.441145,0.778749,0.850465,1.18769,1.23561,0.879282,1.19548,1.14625,1.92935,1.47492,0.949526
-520.642,0.966947,0.0489875,4,15,0,531.179,0.812071,0.831685,0.630198,0.950529,0.426161,0.683121,0.791458,1.5217,1.13601,0.795831,1.59669,1.07448,1.78486,1.58427,1.00382
-521.107,0.664475,0.0489875,5,31,0,531.865,0.486495,0.728702,0.49168,0.569201,0.770121,0.640257,1.354,0.937048,0.822365,1.66777,0.9464,2.54877,1.02566,1.05892,0.941335
-521.299,0.932459,0.0489875,4,31,0,528.729,0.641965,1.00871,0.457646,0.746584,0.838244,0.751306,0.967446,0.633845,1.15969,1.59491,1.15948,1.38721,1.07827,1.20789,1.27109
-521.108,0.901814,0.0489875,4,31,0,530.157,0.520385,0.487969,0.458259,0.757741,0.590413,1.04211,1.09782,0.749462,0.879748,1.41182,1.57951,2.09865,1.03959,0.899119,0.85822
-518.796,0.933455,0.0489875,4,15,0,525.747,0.941064,0.967601,0.63611,0.576002,0.744534,0.573146,0.899313,1.228,1.04283,1.22182,1.14638,1.23354,1.8194,1.3134,1.26846
-518.142,0.960452,0.0489875,4,15,0,523.937,0.484938,0.712663,0.498288,0.667002,0.67723,0.98962,1.20777,0.910416,0.814642,1.18369,1.29195,1.98749,1.12266,1.26536,1.15426
-523.183,0.985808,0.0489875,4,15,0,528.673,1.03698,0.951797,0.76527,0.476673,0.646586,0.586937,0.974269,1.1448,1.04626,1.60499,1.00143,1.24945,1.49895,1.24057,0.525348
-521.704,0.750201,0.0489875,4,31,0,529.553,0.74398,0.425453,0.501729,0.726787,0.895626,0.66104,1.10394,1.15699,0.782659,1.25389,0.99066,1.82084,1.3518,1.2362,0.551455
-520.316,0.984861,0.0489875,4,15,0,531.208,0.618737,0.649761,0.528997,0.728898,0.565274,0.698906,1.08636,0.950349,1.43958,0.943684,1.24873,1.97797,0.925162,1.42846,1.13216
